fid,DB,CoordX,CoordY
1962,51,3.858,43.675
3211,51,3.844,43.672
3884,55,3.862,43.671
5247,50,3.852,43.67
7594,50,3.921,43.666
8184,53,3.954,43.665
8753,50,3.911,43.666
10729,63,3.979,43.663
11105,56,3.925,43.664
12347,50,3.866,43.664
14514,50,3.919,43.662
15340,55,3.977,43.66
15717,57,3.981,43.66
16326,52,3.987,43.66
18693,50,3.907,43.66
19980,52,3.977,43.659
25638,55,3.894,43.657
26264,50,3.883,43.657
26499,56,3.924,43.656
27383,57,3.924,43.656
27437,54,3.969,43.655
28255,50,3.967,43.655
30526,58,3.982,43.654
30941,51,3.79,43.656
31484,59,3.898,43.654
31819,60,3.98,43.653
31874,58,3.877,43.655
33876,52,3.857,43.654
34648,54,3.861,43.653
36253,59,3.871,43.652
37578,63,3.921,43.651
38923,53,3.944,43.65
40290,60,3.957,43.649
40778,53,3.891,43.65
42447,53,3.906,43.649
43703,53,3.946,43.648
43952,50,3.833,43.649
44113,57,3.955,43.648
46217,61,3.899,43.647
47190,50,3.885,43.647
48104,57,3.951,43.646
48198,53,3.892,43.647
49933,50,3.936,43.645
50387,50,3.899,43.646
50433,52,3.923,43.645
50474,56,3.945,43.645
50950,54,3.94,43.645
51107,62,3.89,43.646
52967,57,3.89,43.645
53196,52,3.847,43.645
56864,59,3.841,43.644
58784,52,3.904,43.643
59712,52,3.916,43.642
60049,51,3.825,43.643
60451,57,3.928,43.642
61374,59,3.918,43.641
64059,62,3.846,43.641
64561,51,3.899,43.64
67258,53,3.861,43.64
67275,52,3.886,43.639
67724,52,3.915,43.639
67998,56,3.829,43.64
68191,51,3.823,43.64
69978,52,3.905,43.638
71826,50,3.823,43.638
74540,59,3.926,43.636
77156,57,3.905,43.635
80661,53,3.874,43.634
81879,54,3.881,43.633
82133,51,3.894,43.633
83043,63,3.896,43.633
84154,52,3.868,43.633
85172,50,3.895,43.632
85322,52,3.838,43.633
85639,52,3.88,43.632
89535,54,3.865,43.631
94016,58,3.842,43.629
94381,50,3.885,43.628
97120,56,3.869,43.628
98777,70,3.782,43.628
99075,61,3.848,43.627
99134,63,3.869,43.627
99279,62,3.782,43.628
101100,74,3.896,43.626
101357,74,3.896,43.626
102290,50,3.871,43.626
103733,80,3.895,43.625
104417,50,3.881,43.625
105893,78,3.893,43.624
106080,63,3.862,43.624
108365,61,3.863,43.623
110422,60,3.899,43.622
110557,50,3.845,43.623
110633,53,3.886,43.622
111809,61,3.788,43.623
116252,57,3.884,43.62
116678,52,3.787,43.621
119153,55,3.893,43.619
119867,52,3.835,43.62
120071,53,3.916,43.619
123055,56,3.867,43.618
123228,58,3.831,43.619
126356,60,3.793,43.618
131140,70,3.884,43.616
135338,50,3.81,43.615
136158,69,3.883,43.614
136804,66,3.885,43.614
137552,59,3.814,43.614
137677,51,3.867,43.614
139471,51,3.797,43.614
139507,59,3.809,43.614
139800,51,3.815,43.614
141319,55,3.803,43.613
141804,55,3.81,43.613
144360,65,3.801,43.612
145080,52,3.914,43.611
147649,54,3.911,43.61
152286,65,3.912,43.608
153157,51,3.896,43.608
153330,51,3.836,43.609
154242,61,3.862,43.608
154602,52,3.909,43.608
154735,51,3.825,43.609
154849,52,3.87,43.608
157904,67,3.821,43.608
158496,55,3.851,43.607
158554,55,3.879,43.607
159452,59,3.896,43.606
160444,58,3.81,43.607
160595,52,3.889,43.606
161443,63,3.903,43.606
161911,53,3.865,43.606
162070,69,3.929,43.605
162293,55,3.892,43.605
165275,61,3.925,43.604
167685,69,3.926,43.603
170557,60,3.886,43.602
173594,51,3.89,43.601
174169,53,3.863,43.601
176644,69,3.917,43.6
176774,56,3.871,43.6
176812,61,3.885,43.6
177738,50,3.88,43.6
178051,64,3.917,43.599
178348,58,3.844,43.6
178944,50,3.885,43.599
181308,64,3.888,43.598
181820,55,3.841,43.599
182198,58,3.936,43.597
182517,76,3.877,43.598
182878,61,3.842,43.598
183742,54,3.819,43.603
183854,55,3.878,43.597
183952,55,3.937,43.596
186082,54,3.837,43.597
189121,63,3.908,43.595
189983,53,3.833,43.595
191823,55,3.899,43.594
196279,65,3.901,43.592
196579,58,3.825,43.593
197642,72,3.878,43.592
197893,51,3.888,43.592
199151,52,3.835,43.592
199697,53,3.818,43.592
200048,60,3.884,43.591
204310,52,3.843,43.589
204408,54,3.885,43.588
205050,79,3.877,43.588
208609,71,3.877,43.586
209051,50,3.858,43.586
211261,69,3.847,43.585
211961,57,3.886,43.584
216905,57,3.823,43.581
218439,61,3.868,43.58
219466,51,3.842,43.58
219883,52,3.858,43.579
219902,54,3.869,43.579
221060,54,3.851,43.578
221286,55,3.844,43.578
221315,50,3.857,43.578
222213,54,3.829,43.578
222274,74,3.872,43.577
222285,68,3.874,43.577
223733,50,3.83,43.577
223789,52,3.844,43.576
224748,52,3.835,43.576
224828,52,3.821,43.576
226431,58,3.823,43.574
226715,52,3.825,43.574
230119,54,3.839,43.571
230565,60,3.839,43.57
230756,60,3.812,43.57
231061,53,3.831,43.57
232665,55,3.839,43.569
233377,65,3.843,43.568
234760,52,3.807,43.566
236057,53,3.842,43.564
237664,63,3.828,43.561
238827,54,3.846,43.558
239619,73,3.823,43.556
